theme,support,baseline_f1,effnet_f1,f1_improvement
Minecraft,38,0.0,0.6862745098039216,0.6862745098039216
Duplo,131,0.0289855072463768,0.5879629629629629,0.5589774557165861
Friends,114,0.1111111111111111,0.6586826347305389,0.5475715236194278
Super Mario,40,0.0,0.5416666666666666,0.5416666666666666
Belville,15,0.0,0.4827586206896552,0.4827586206896552
Ninjago,154,0.0,0.4724137931034483,0.4724137931034483
Games,20,0.0,0.4615384615384615,0.4615384615384615
Town,106,0.0,0.4024640657084189,0.4024640657084189
Fabuland,13,0.0,0.3466666666666667,0.3466666666666667
Castle,67,0.0,0.3296703296703296,0.3296703296703296
Harry Potter,86,0.02,0.3178807947019867,0.2978807947019867
City,297,0.2280230326295585,0.518,0.28997696737044154
Disney,60,0.0,0.2803234501347709,0.2803234501347709
Star Wars,210,0.2098688319800125,0.4745341614906832,0.26466532951067073
Collectable Minifigures,128,0.0,0.2638190954773869,0.2638190954773869
Marvel Super Heroes,129,0.0,0.2558398220244716,0.2558398220244716
Legends of Chima,16,0.0,0.2424242424242424,0.2424242424242424
Cars,9,0.0,0.2307692307692307,0.2307692307692307
Sports,34,0.0,0.2193548387096774,0.2193548387096774
Education,73,0.0,0.2135523613963039,0.2135523613963039
Indiana Jones,10,0.0,0.196078431372549,0.196078431372549
Monkie Kid,29,0.0,0.1867704280155642,0.1867704280155642
DC Comics Super Heroes,65,0.0,0.1867145421903052,0.1867145421903052
Dacta,35,0.0,0.1792717086834734,0.1792717086834734
Trains,24,0.0,0.1627118644067796,0.1627118644067796
Pirates,20,0.0,0.1350210970464135,0.1350210970464135
Seasonal,39,0.0,0.1208053691275167,0.1208053691275167
Basic,12,0.0,0.1142857142857142,0.1142857142857142
Dreamzzz,13,0.0,0.1132075471698113,0.1132075471698113
Space,27,0.0,0.1123595505617977,0.1123595505617977
BrickLink,32,0.0,0.0966542750929368,0.0966542750929368
Explore,12,0.0,0.0948275862068965,0.0948275862068965
Creator,26,0.0,0.0911161731207289,0.0911161731207289
Nexo Knights,22,0.0,0.090721649484536,0.090721649484536
Promotional,41,0.0,0.0903225806451612,0.0903225806451612
The Hobbit,12,0.0,0.0833333333333333,0.0833333333333333
Advanced models,19,0.0,0.0818713450292397,0.0818713450292397
The LEGO Movie 2,15,0.0,0.0792682926829268,0.0792682926829268
The LEGO Movie,19,0.0,0.0754716981132075,0.0754716981132075
Icons,36,0.0,0.0741839762611275,0.0741839762611275
Ideas,35,0.0,0.0738916256157635,0.0738916256157635
The LEGO Ninjago Movie,12,0.0,0.0722021660649819,0.0722021660649819
Racers,10,0.0,0.0700389105058365,0.0700389105058365
Adventurers,9,0.0,0.0669456066945606,0.0669456066945606
Elves,8,0.0,0.0660377358490566,0.0660377358490566
Speed Champions,19,0.0,0.0603907637655417,0.0603907637655417
Jurassic World,15,0.0,0.0602409638554216,0.0602409638554216
Hidden Side,14,0.0,0.0589970501474926,0.0589970501474926
Gear,25,0.0,0.0536912751677852,0.0536912751677852
Creator Expert,18,0.0,0.0453808752025931,0.0453808752025931
Miscellaneous,18,0.0,0.0404858299595141,0.0404858299595141
Juniors,15,0.0,0.032069970845481,0.032069970845481
The LEGO Batman Movie,14,0.0,0.0279187817258883,0.0279187817258883
Dimensions,14,0.0,0.0246913580246913,0.0246913580246913
Teenage Mutant Ninja Turtles,3,0.0,0.0103896103896103,0.0103896103896103
